time,year,month,reserve,dry_kg,wet_kg,total_kg
7/31/19,2019,7,Dunas de Liencres y Estuario del Pas,545.2820365,-7.50E-12,545.2820365
7/31/19,2019,7,Balsa del Pulguer,174.2167274,35.13379547,209.3505229
7/31/19,2019,7,Montes del Cerrato,3232.55129,62.31392768,3294.865218
7/31/19,2019,7,Basses de l'Albera,382.082117,-1.19E-11,382.082117
7/31/19,2019,7,Les Gavarres,7798.188033,-2.94E-10,7798.188033
7/31/19,2019,7,Prat de Cabanes i Torreblanca,770.6172772,-2.10E-11,770.6172772
7/31/19,2019,7,Urkiola,2206.284153,141.9639369,2348.24809
7/31/19,2019,7,Alto Navia,-131.7732354,1.58E-12,-131.7732354
7/31/19,2019,7,Badina Escudera,62.60541289,12.62545683,75.23086972
7/31/19,2019,7,LA GUARGUERA,365.7071966,3.141709029,368.8489057
7/31/19,2019,7,TURBERAS DE ACUMUER,0,0,0
7/31/19,2019,7,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
7/31/19,2019,7,Plans de Sió,5465.837879,-5.08E-11,5465.837879
7/31/19,2019,7,Serra d'en Galceràn,5225.375801,-1.38E-10,5225.375801
7/31/19,2019,7,Ullals del riu Verd,0,0,0
7/31/19,2019,7,Río Guadalmedina,0,0,0
8/31/19,2019,8,Sierra Plana de la Borbolla,8253.556597,-1.97E-11,8253.556597
8/31/19,2019,8,Rias occidentales y Duna de Oyambre,5559.698727,-1.63E-11,5559.698727
8/31/19,2019,8,Dunas de Liencres y Estuario del Pas,1072.590907,-4.58E-12,1072.590907
8/31/19,2019,8,Balsa del Pulguer,200.2456994,-3.35E-12,200.2456994
8/31/19,2019,8,Montes del Cerrato,904.9921792,-1.15E-11,904.9921792
8/31/19,2019,8,Basses de l'Albera,1835.322904,-1.83E-11,1835.322904
8/31/19,2019,8,Les Gavarres,26495.36301,-2.24E-10,26495.36301
8/31/19,2019,8,Prat de Cabanes i Torreblanca,1767.097792,-3.54E-11,1767.097792
8/31/19,2019,8,Urkiola,18931.3788,-4.62E-11,18931.3788
8/31/19,2019,8,Alto Navia,130.5707342,-2.65E-12,130.5707342
8/31/19,2019,8,Badina Escudera,8.060056408,-1.35E-13,8.060056408
8/31/19,2019,8,LA GUARGUERA,1449.02455,-6.56E-12,1449.02455
8/31/19,2019,8,TURBERAS DE ACUMUER,0,0,0
8/31/19,2019,8,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
8/31/19,2019,8,Plans de Sió,6475.131873,-6.65E-11,6475.131873
8/31/19,2019,8,Serra d'en Galceràn,1756.696268,-3.43E-11,1756.696268
8/31/19,2019,8,Ullals del riu Verd,0,0,0
8/31/19,2019,8,Río Guadalmedina,0,0,0
9/30/19,2019,9,Sierra Plana de la Borbolla,3860.030084,-8.11E-12,3860.030084
9/30/19,2019,9,Rias occidentales y Duna de Oyambre,4599.585397,-8.26E-12,4599.585397
9/30/19,2019,9,Dunas de Liencres y Estuario del Pas,3003.642622,-4.30E-12,3003.642622
9/30/19,2019,9,Balsa del Pulguer,317.1083973,-2.64E-12,317.1083973
9/30/19,2019,9,Montes del Cerrato,7158.147373,-2.62E-11,7158.147373
9/30/19,2019,9,Basses de l'Albera,2129.641235,-6.62E-12,2129.641235
9/30/19,2019,9,Les Gavarres,76313.01972,-1.63E-10,76313.01972
9/30/19,2019,9,Prat de Cabanes i Torreblanca,637.4407716,-1.75E-11,637.4407716
9/30/19,2019,9,Urkiola,29835.43269,-6.18E-11,29835.43269
9/30/19,2019,9,Alto Navia,308.4930121,-3.35E-12,308.4930121
9/30/19,2019,9,Badina Escudera,116.4157651,-9.70E-13,116.4157651
9/30/19,2019,9,LA GUARGUERA,2552.507179,-7.05E-12,2552.507179
9/30/19,2019,9,TURBERAS DE ACUMUER,0,0,0
9/30/19,2019,9,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
9/30/19,2019,9,Plans de Sió,9067.288942,-6.84E-11,9067.288942
9/30/19,2019,9,Serra d'en Galceràn,2208.639181,-6.24E-11,2208.639181
9/30/19,2019,9,Ullals del riu Verd,0,0,0
9/30/19,2019,9,Río Guadalmedina,0,0,0
10/31/19,2019,10,Sierra Plana de la Borbolla,370.1405987,2.787576853,372.9281755
